"yourlist:M20201123A94466D2655679D1FD8953E075198DA817123DO","Entry","Function [CC]"
"Q14449","Q14449","FUNCTION: Adapter protein which modulates coupling of cell surface receptor kinases with specific signaling pathways. Binds to, and suppresses signals from, the activated insulin receptor (INSR). Potent inhibitor of insulin-stimulated MAPK3 phosphorylation. Plays a critical role regulating PDPK1 membrane translocation in response to insulin stimulation and serves as an adapter protein to recruit PDPK1 to activated insulin receptor, thus promoting PKB/AKT1 phosphorylation and transduction of the insulin signal. {ECO:0000269|PubMed:15210700, ECO:0000269|PubMed:19648926}."
"P06396","P06396","FUNCTION: Calcium-regulated, actin-modulating protein that binds to the plus (or barbed) ends of actin monomers or filaments, preventing monomer exchange (end-blocking or capping). It can promote the assembly of monomers into filaments (nucleation) as well as sever filaments already formed. Plays a role in ciliogenesis. {ECO:0000269|PubMed:20393563}."
"Q9H0R4","Q9H0R4",""
"P28335","P28335","FUNCTION: G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various drugs and psychoactive substances, including ergot alkaloid derivatives, 1-2,5,-dimethoxy-4-iodophenyl-2-aminopropane (DOI) and lysergic acid diethylamide (LSD). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways. Signaling activates a phosphatidylinositol-calcium second messenger system that modulates the activity of phosphatidylinositol 3-kinase and down-stream signaling cascades and promotes the release of Ca(2+) ions from intracellular stores. Regulates neuronal activity via the activation of short transient receptor potential calcium channels in the brain, and thereby modulates the activation of pro-opiomelacortin neurons and the release of CRH that then regulates the release of corticosterone. Plays a role in the regulation of appetite and eating behavior, responses to anxiogenic stimuli and stress. Plays a role in insulin sensitivity and glucose homeostasis. {ECO:0000269|PubMed:12970106, ECO:0000269|PubMed:18703043, ECO:0000269|PubMed:19057895, ECO:0000269|PubMed:7895773}."
"P14902","P14902","FUNCTION: Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway (PubMed:17671174). Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses (PubMed:25691885). Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells (PubMed:25691885). Acts as a suppressor of anti-tumor immunity (PubMed:23103127, PubMed:25157255, PubMed:14502282, PubMed:25691885). Limits the growth of intracellular pathogens by depriving tryptophan (PubMed:25691885). Protects the fetus from maternal immune rejection (PubMed:25691885). {ECO:0000269|PubMed:14502282, ECO:0000269|PubMed:17671174, ECO:0000303|PubMed:23103127, ECO:0000303|PubMed:25157255, ECO:0000303|PubMed:25691885}."
"P24593","P24593","FUNCTION: IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors."
"Q9Y5U4","Q9Y5U4","FUNCTION: Oxysterol-binding protein that mediates feedback control of cholesterol synthesis by controlling both endoplasmic reticulum to Golgi transport of SCAP and degradation of HMGCR (PubMed:12242332, PubMed:16606821, PubMed:32322062). Acts as a negative regulator of cholesterol biosynthesis by mediating the retention of the SCAP-SREBP complex in the endoplasmic reticulum, thereby blocking the processing of sterol regulatory element-binding proteins (SREBPs) SREBF1/SREBP1 and SREBF2/SREBP2 (PubMed:32322062). Binds oxysterol, including 22-hydroxycholesterol, 24-hydroxycholesterol, 25-hydroxycholesterol and 27-hydroxycholesterol, regulating interaction with SCAP and retention of the SCAP-SREBP complex in the endoplasmic reticulum (PubMed:26160948, PubMed:17428920, PubMed:32322062). In presence of oxysterol, interacts with SCAP, retaining the SCAP-SREBP complex in the endoplasmic reticulum, thereby preventing SCAP from escorting SREBF1/SREBP1 and SREBF2/SREBP2 to the Golgi (PubMed:32322062). Sterol deprivation or phosphorylation by PCK1 reduce oxysterol-binding, disrupting the interaction between INSIG2 and SCAP, thereby promoting Golgi transport of the SCAP-SREBP complex, followed by processing and nuclear translocation of SREBF1/SREBP1 and SREBF2/SREBP2 (PubMed:32322062). Also regulates cholesterol synthesis by regulating degradation of HMGCR: initiates the sterol-mediated ubiquitin-mediated endoplasmic reticulum-associated degradation (ERAD) of HMGCR via recruitment of the reductase to the ubiquitin ligase RNF139 (PubMed:16606821, PubMed:22143767). {ECO:0000269|PubMed:12242332, ECO:0000269|PubMed:16606821, ECO:0000269|PubMed:17428920, ECO:0000269|PubMed:22143767, ECO:0000269|PubMed:26160948, ECO:0000269|PubMed:32322062}."
"Q9UI26","Q9UI26","FUNCTION: Functions in nuclear protein import as nuclear transport receptor. Serves as receptor for nuclear localization signals (NLS) in cargo substrates. Is thought to mediate docking of the importin/substrate complex to the nuclear pore complex (NPC) through binding to nucleoporin and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to the importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran. The directionality of nuclear import is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus (By similarity). Mediates the nuclear import of UBE2E3, and of RPL12 (By similarity). {ECO:0000250, ECO:0000269|PubMed:11032817}."
"P46940","P46940","FUNCTION: Plays a crucial role in regulating the dynamics and assembly of the actin cytoskeleton. Binds to activated CDC42 but does not stimulate its GTPase activity. It associates with calmodulin. Could serve as an assembly scaffold for the organization of a multimolecular complex that would interface incoming signals to the reorganization of the actin cytoskeleton at the plasma membrane. May promote neurite outgrowth (PubMed:15695813). May play a possible role in cell cycle regulation by contributing to cell cycle progression after DNA replication arrest (PubMed:20883816). {ECO:0000269|PubMed:15695813, ECO:0000269|PubMed:20883816}."
"Q12791","Q12791","FUNCTION: Potassium channel activated by both membrane depolarization or increase in cytosolic Ca(2+) that mediates export of K(+) (PubMed:29330545, PubMed:31152168). It is also activated by the concentration of cytosolic Mg(2+). Its activation dampens the excitatory events that elevate the cytosolic Ca(2+) concentration and/or depolarize the cell membrane. It therefore contributes to repolarization of the membrane potential. Plays a key role in controlling excitability in a number of systems, such as regulation of the contraction of smooth muscle, the tuning of hair cells in the cochlea, regulation of transmitter release, and innate immunity. In smooth muscles, its activation by high level of Ca(2+), caused by ryanodine receptors in the sarcoplasmic reticulum, regulates the membrane potential. In cochlea cells, its number and kinetic properties partly determine the characteristic frequency of each hair cell and thereby helps to establish a tonotopic map. Kinetics of KCNMA1 channels are determined by alternative splicing, phosphorylation status and its combination with modulating beta subunits. Highly sensitive to both iberiotoxin (IbTx) and charybdotoxin (CTX). {ECO:0000269|PubMed:29330545, ECO:0000269|PubMed:31152168}."
"Q16558","Q16558","FUNCTION: Regulatory subunit of the calcium activated potassium KCNMA1 (maxiK) channel. Modulates the calcium sensitivity and gating kinetics of KCNMA1, thereby contributing to KCNMA1 channel diversity. Increases the apparent Ca(2+)/voltage sensitivity of the KCNMA1 channel. It also modifies KCNMA1 channel kinetics and alters its pharmacological properties. It slows down the activation and the deactivation kinetics of the channel. Acts as a negative regulator of smooth muscle contraction by enhancing the calcium sensitivity to KCNMA1. Its presence is also a requirement for internal binding of the KCNMA1 channel opener dehydrosoyasaponin I (DHS-1) triterpene glycoside and for external binding of the agonist hormone 17-beta-estradiol (E2). Increases the binding activity of charybdotoxin (CTX) toxin to KCNMA1 peptide blocker by increasing the CTX association rate and decreasing the dissociation rate."
"O95461","O95461","FUNCTION: Bifunctional glycosyltransferase with both xylosyltransferase and beta-1,3-glucuronyltransferase activities involved in the biosynthesis of the phosphorylated O-mannosyl trisaccharide (N-acetylgalactosamine-beta-3-N-acetylglucosamine-beta-4-(phosphate-6-)mannose), a carbohydrate structure present in alpha-dystroglycan (DAG1) (PubMed:22223806). Phosphorylated O-mannosyl trisaccharid is required for binding laminin G-like domain-containing extracellular proteins with high affinity and plays a key role in skeletal muscle function and regeneration. LARGE elongates the glucuronyl-beta-1,4-xylose-beta disaccharide primer structure initiated by B3GNT1/B4GAT1 by adding repeating units [-3-Xylose-alpha-1,3-GlcA-beta-1-] to produce a heteropolysaccharide (PubMed:25279699). {ECO:0000269|PubMed:15661757, ECO:0000269|PubMed:15752776, ECO:0000269|PubMed:21987822, ECO:0000269|PubMed:22223806, ECO:0000269|PubMed:25138275, ECO:0000269|PubMed:25279697, ECO:0000269|PubMed:25279699}."
"P18428","P18428","FUNCTION: Plays a role in the innate immune response. Binds to the lipid A moiety of bacterial lipopolysaccharides (LPS), a glycolipid present in the outer membrane of all Gram-negative bacteria (PubMed:7517398, PubMed:24120359). Acts as an affinity enhancer for CD14, facilitating its association with LPS. Promotes the release of cytokines in response to bacterial lipopolysaccharide (PubMed:7517398, PubMed:24120359). {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:20133493, ECO:0000269|PubMed:24120359, ECO:0000269|PubMed:7517398, ECO:0000305|PubMed:17481951}."
"P41159","P41159","FUNCTION: Key player in the regulation of energy balance and body weight control. Once released into the circulation, has central and peripheral effects by binding LEPR, found in many tissues, which results in the activation of several major signaling pathways (PubMed:17344214, PubMed:15899045, PubMed:19688109). In the hypothalamus, acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones. In the periphery, increases basal metabolism, influences reproductive function, regulates pancreatic beta-cell function and insulin secretion, is pro-angiogenic for endothelial cell and affects innate and adaptive immunity (By similarity) (PubMed:8589726, PubMed:11460888, PubMed:19688109, PubMed:24340098, PubMed:25060689). In the arcuate nucleus of the hypothalamus, activates by depolarization POMC neurons inducing FOS and SOCS3 expression to release anorexigenic peptides and inhibits by hyperpolarization NPY neurons inducing SOCS3 with a consequent reduction on release of orexigenic peptides (By similarity). In addition to its known satiety inducing effect, has a modulatory role in nutrient absorption. In the intestine, reduces glucose absorption by enterocytes by activating PKC and leading to a sequential activation of p38, PI3K and ERK signaling pathways which exerts an inhibitory effect on glucose absorption (PubMed:24340098). Acts as a growth factor on certain tissues, through the activation of different signaling pathways increases expression of genes involved in cell cycle regulation such as CCND1, via JAK2-STAT3 pathway, or VEGFA, via MAPK1/3 and PI3K-AKT1 pathways (By similarity) (PubMed:17344214). May also play an apoptotic role via JAK2-STAT3 pathway and up-regulation of BIRC5 expression (PubMed:18242580). Pro-angiogenic, has mitogenic activity on vascular endothelial cells and plays a role in matrix remodeling by regulating the expression of matrix metalloproteinases (MMPs) and tissue inhibitors of metalloproteinases (TIMPs) (PubMed:11460888). In innate immunity, modulates the activity and function of neutrophils by increasing chemotaxis and the secretion of oxygen radicals. Increases phagocytosis by macrophages and enhances secretion of pro-inflammatory mediators. Increases cytotoxic ability of NK cells (PubMed:12504075). Plays a pro-inflammatory role, in synergy with IL1B, by inducing NOS2 wich promotes the production of IL6, IL8 and Prostaglandin E2, through a signaling pathway that involves JAK2, PI3K, MAP2K1/MEK1 and MAPK14/p38 (PubMed:15899045, PubMed:19688109). In adaptive immunity, promotes the switch of memory T-cells towards T helper-1 cell immune responses (By similarity). Increases CD4(+)CD25(-) T-cell proliferation and reduces autophagy during TCR (T-cell receptor) stimulation, through MTOR signaling pathway activation and BCL2 up-regulation (PubMed:25060689). {ECO:0000250|UniProtKB:P41160, ECO:0000250|UniProtKB:P50596, ECO:0000269|PubMed:11460888, ECO:0000269|PubMed:12504075, ECO:0000269|PubMed:15899045, ECO:0000269|PubMed:17344214, ECO:0000269|PubMed:18242580, ECO:0000269|PubMed:19688109, ECO:0000269|PubMed:24340098, ECO:0000269|PubMed:25060689, ECO:0000269|PubMed:8589726, ECO:0000305|PubMed:15122202, ECO:0000305|PubMed:25232147}."
"P48357","P48357","FUNCTION: Receptor for hormone LEP/leptin (Probable) (PubMed:22405007). On ligand binding, mediates LEP central and peripheral effects through the activation of different signaling pathways such as JAK2/STAT3 and MAPK cascade/FOS. In the hypothalamus, LEP acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones (By similarity) (PubMed:9537324). In the periphery, increases basal metabolism, influences reproductive function, regulates pancreatic beta-cell function and insulin secretion, is pro-angiogenic and affects innate and adaptive immunity (PubMed:25060689, PubMed:12504075, PubMed:8805376). Control of energy homeostasis and melanocortin production (stimulation of POMC and full repression of AgRP transcription) is mediated by STAT3 signaling, whereas distinct signals regulate NPY and the control of fertility, growth and glucose homeostasis. Involved in the regulation of counter-regulatory response to hypoglycemia by inhibiting neurons of the parabrachial nucleus. Has a specific effect on T lymphocyte responses, differentially regulating the proliferation of naive and memory T -ells. Leptin increases Th1 and suppresses Th2 cytokine production (By similarity). {ECO:0000250|UniProtKB:P48356, ECO:0000269|PubMed:12504075, ECO:0000269|PubMed:22405007, ECO:0000269|PubMed:25060689, ECO:0000269|PubMed:8805376, ECO:0000269|PubMed:9537324, ECO:0000305|PubMed:25232147}.; FUNCTION: [Isoform A]: May transport LEP across the blood-brain barrier. Binds LEP and mediates LEP endocytosis. Does not induce phosphorylation of and activate STAT3. {ECO:0000250|UniProtKB:P48356}.; FUNCTION: [Isoform E]: Antagonizes Isoform A and isoform B-mediated LEP binding and endocytosis. {ECO:0000250|UniProtKB:P48356}."
"Q92604","Q92604","FUNCTION: Lysophosphatidylglycerol (LPG) specific acyltransferase that recognizes various acyl-CoAs and LPGs as substrates but demonstrates a clear preference for long chain saturated fatty acyl-CoAs and oleoyl-CoA as acyl donors. Prefers oleoyl-LPG over palmitoyl-LPG as an acyl receptor and oleoyl-CoA over lauroyl-CoA as an acyl donor. {ECO:0000269|PubMed:15485873}."
"P27816","P27816","FUNCTION: Non-neuronal microtubule-associated protein. Promotes microtubule assembly. {ECO:0000269|PubMed:10791892}."
"Q15691","Q15691","FUNCTION: Plus-end tracking protein (+TIP) that binds to the plus-end of microtubules and regulates the dynamics of the microtubule cytoskeleton (PubMed:12388762, PubMed:16109370, PubMed:19632184, PubMed:21646404, PubMed:28726242, PubMed:28814570). Promotes cytoplasmic microtubule nucleation and elongation (PubMed:12388762, PubMed:16109370, PubMed:19632184, PubMed:21646404, PubMed:28726242, PubMed:28814570). May be involved in spindle function by stabilizing microtubules and anchoring them at centrosomes (PubMed:12388762). Also acts as a regulator of minus-end microtubule organization: interacts with the complex formed by AKAP9 and PDE4DIP, leading to recruit CAMSAP2 to the Golgi apparatus, thereby tethering non-centrosomal minus-end microtubules to the Golgi, an important step for polarized cell movement (PubMed:28814570). Promotes elongation of CAMSAP2-decorated microtubule stretches on the minus-end of microtubules (PubMed:28814570). Acts as a regulator of autophagosome transport via interaction with CAMSAP2 (PubMed:28726242). May play a role in cell migration (By similarity). {ECO:0000250|UniProtKB:Q61166, ECO:0000269|PubMed:12388762, ECO:0000269|PubMed:16109370, ECO:0000269|PubMed:19632184, ECO:0000269|PubMed:21646404, ECO:0000269|PubMed:28726242, ECO:0000269|PubMed:28814570}."
"P10636","P10636","FUNCTION: Promotes microtubule assembly and stability, and might be involved in the establishment and maintenance of neuronal polarity. The C-terminus binds axonal microtubules while the N-terminus binds neural plasma membrane components, suggesting that tau functions as a linker protein between both. Axonal polarity is predetermined by TAU/MAPT localization (in the neuronal cell) in the domain of the cell body defined by the centrosome. The short isoforms allow plasticity of the cytoskeleton whereas the longer isoforms may preferentially play a role in its stabilization. {ECO:0000269|PubMed:21985311}."
"P48163","P48163",""
"Q5EB52","Q5EB52",""
"Q641Q3","Q641Q3","FUNCTION: Hormone induced following exercise or cold exposure that promotes energy expenditure. Induced either in the skeletal muscle after exercise or in adipose tissue following cold exposure and is present in the circulation. Able to stimulate energy expenditure associated with the browning of the white fat depots and improves glucose tolerance. Does not promote an increase in a thermogenic gene program via direct action on adipocytes, but acts by stimulating several immune cell subtypes to enter the adipose tissue and activate their prothermogenic actions. Stimulates an eosinophil-dependent increase in IL4 expression and promotes alternative activation of adipose tissue macrophages, which are required for the increased expression of the thermogenic and anti-inflammatory gene programs in fat. Required for some cold-induced thermogenic responses, suggesting a role in metabolic adaptations to cold temperatures (By similarity). {ECO:0000250}."
"P08253","P08253","FUNCTION: Ubiquitinous metalloproteinase that is involved in diverse functions such as remodeling of the vasculature, angiogenesis, tissue repair, tumor invasion, inflammation, and atherosclerotic plaque rupture. As well as degrading extracellular matrix proteins, can also act on several nonmatrix proteins such as big endothelial 1 and beta-type CGRP promoting vasoconstriction. Also cleaves KISS at a Gly-|-Leu bond. Appears to have a role in myocardial cell death pathways. Contributes to myocardial oxidative stress by regulating the activity of GSK3beta. Cleaves GSK3beta in vitro. Involved in the formation of the fibrovascular tissues in association with MMP14.; FUNCTION: PEX, the C-terminal non-catalytic fragment of MMP2, posseses anti-angiogenic and anti-tumor properties and inhibits cell migration and cell adhesion to FGF2 and vitronectin. Ligand for integrinv/beta3 on the surface of blood vessels.; FUNCTION: [Isoform 2]: Mediates the proteolysis of CHUK/IKKA and initiates a primary innate immune response by inducing mitochondrial-nuclear stress signaling with activation of the pro-inflammatory NF-kappaB, NFAT and IRF transcriptional pathways."
"P39900","P39900","FUNCTION: May be involved in tissue injury and remodeling. Has significant elastolytic activity. Can accept large and small amino acids at the P1' site, but has a preference for leucine. Aromatic or hydrophobic residues are preferred at the P1 site, with small hydrophobic residues (preferably alanine) occupying P3."
"Q6WCQ1","Q6WCQ1","FUNCTION: Targets myosin phosphatase to the actin cytoskeleton. Required for the regulation of the actin cytoskeleton by RhoA and ROCK1. Depletion leads to an increased number of stress fibers in smooth muscle cells through stabilization of actin fibers by phosphorylated myosin. Overexpression of MRIP as well as its F-actin-binding region leads to disassembly of stress fibers in neuronal cells. {ECO:0000250|UniProtKB:P97434, ECO:0000269|PubMed:15545284, ECO:0000269|PubMed:16257966}."
"O43795","O43795","FUNCTION: Motor protein that may participate in process critical to neuronal development and function such as cell migration, neurite outgrowth and vesicular transport. {ECO:0000250}."
"Q9HD67","Q9HD67","FUNCTION: Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. MYO10 binds to actin filaments and actin bundles and functions as plus end-directed motor. The tail domain binds to membranous compartments containing phosphatidylinositol 3,4,5-trisphosphate or integrins, and mediates cargo transport along actin filaments. Regulates cell shape, cell spreading and cell adhesion. Stimulates the formation and elongation of filopodia. May play a role in neurite outgrowth and axon guidance. In hippocampal neurons it induces the formation of dendritic filopodia by trafficking the actin-remodeling protein VASP to the tips of filopodia, where it promotes actin elongation. Plays a role in formation of the podosome belt in osteoclasts. {ECO:0000269|PubMed:16894163, ECO:0000269|PubMed:18570893}.; FUNCTION: [Isoform Headless]: Functions as a dominant-negative regulator of isoform 1, suppressing its filopodia-inducing and axon outgrowth-promoting activities. In hippocampal neurons, it increases VASP retention in spine heads to induce spine formation and spine head expansion (By similarity). {ECO:0000250}."
"Q9BTX1","Q9BTX1","FUNCTION: Component of the nuclear pore complex (NPC), which plays a key role in de novo assembly and insertion of NPC in the nuclear envelope. Required for NPC and nuclear envelope assembly, possibly by forming a link between the nuclear envelope membrane and soluble nucleoporins, thereby anchoring the NPC in the membrane. {ECO:0000269|PubMed:16600873, ECO:0000269|PubMed:16702233}."
"Q9Y6M9","Q9Y6M9","FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:27626371}."
"Q8TDX7","Q8TDX7","FUNCTION: Protein kinase which plays an important role in mitotic cell cycle progression. Required for microtubule nucleation activity of the centrosome, robust mitotic spindle formation and cytokinesis. Phosphorylates RPS6KB1. {ECO:0000269|PubMed:17101132, ECO:0000269|PubMed:17586473, ECO:0000269|PubMed:19414596}."
"P14543","P14543","FUNCTION: Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin. Also binds to collagen IV and perlecan. It probably has a role in cell-extracellular matrix interactions."
"P17342","P17342","FUNCTION: Receptor for the natriuretic peptide hormones, binding with similar affinities atrial natriuretic peptide NPPA/ANP, brain natriuretic peptide NPPB/BNP, and C-type natriuretic peptide NPPC/CNP. May function as a clearance receptor for NPPA, NPPB and NPPC, regulating their local concentrations and effects. May regulate diuresis, blood pressure and skeletal development. Does not have guanylate cyclase activity. {ECO:0000250|UniProtKB:P70180}."
"Q9BZF1","Q9BZF1","FUNCTION: Lipid transporter involved in lipid countertransport between the endoplasmic reticulum and the plasma membrane: specifically exchanges phosphatidylserine with phosphatidylinositol 4-phosphate (PI4P), delivering phosphatidylserine to the plasma membrane in exchange for PI4P, which is degraded by the SAC1/SACM1L phosphatase in the endoplasmic reticulum. Binds phosphatidylserine and PI4P in a mutually exclusive manner (PubMed:26206935). Binds oxysterol, 25-hydroxycholesterol and cholesterol (PubMed:17428193, PubMed:17991739, PubMed:21698267). {ECO:0000269|PubMed:17428193, ECO:0000269|PubMed:17991739, ECO:0000269|PubMed:21698267, ECO:0000269|PubMed:26206935}."
"P01178","P01178","FUNCTION: Neurophysin 1 specifically binds oxytocin.; FUNCTION: Oxytocin causes contraction of the smooth muscle of the uterus and of the mammary gland. Acts by binding to oxytocin receptor (OXTR) (PubMed:18174156). {ECO:0000269|PubMed:18174156}."
"Q8WX93","Q8WX93","FUNCTION: Cytoskeletal protein required for organization of normal actin cytoskeleton. Roles in establishing cell morphology, motility, cell adhesion and cell-extracellular matrix interactions in a variety of cell types. May function as a scaffolding molecule with the potential to influence both actin polymerization and the assembly of existing actin filaments into higher-order arrays. Binds to proteins that bind to either monomeric or filamentous actin. Localizes at sites where active actin remodeling takes place, such as lamellipodia and membrane ruffles. Different isoforms may have functional differences. Involved in the control of morphological and cytoskeletal changes associated with dendritic cell maturation. Involved in targeting ACTN to specific subcellular foci. {ECO:0000269|PubMed:11598191, ECO:0000269|PubMed:15147863, ECO:0000269|PubMed:17537434}."
"Q9UHG3","Q9UHG3","FUNCTION: Involved in the degradation of prenylated proteins. Cleaves the thioether bond of prenyl-L-cysteines, such as farnesylcysteine and geranylgeranylcysteine."
"P42336","P42336","FUNCTION: Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns (Phosphatidylinositol), PtdIns4P (Phosphatidylinositol 4-phosphate) and PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Participates in cellular signaling in response to various growth factors. Involved in the activation of AKT1 upon stimulation by receptor tyrosine kinases ligands such as EGF, insulin, IGF1, VEGFA and PDGF. Involved in signaling via insulin-receptor substrate (IRS) proteins. Essential in endothelial cell migration during vascular development through VEGFA signaling, possibly by regulating RhoA activity. Required for lymphatic vasculature development, possibly by binding to RAS and by activation by EGF and FGF2, but not by PDGF. Regulates invadopodia formation through the PDPK1-AKT1 pathway. Participates in cardiomyogenesis in embryonic stem cells through a AKT1 pathway. Participates in vasculogenesis in embryonic stem cells through PDK1 and protein kinase C pathway. Also has serine-protein kinase activity: phosphorylates PIK3R1 (p85alpha regulatory subunit), EIF4EBP1 and HRAS. Plays a role in the positive regulation of phagocytosis and pinocytosis (By similarity). {ECO:0000250|UniProtKB:P42337, ECO:0000269|PubMed:21708979, ECO:0000269|PubMed:26593112}."
"P01189","P01189","FUNCTION: [Corticotropin]: Stimulates the adrenal glands to release cortisol.; FUNCTION: [Melanocyte-stimulating hormone alpha]: Anorexigenic peptide. Increases the pigmentation of skin by increasing melanin production in melanocytes.; FUNCTION: [Melanocyte-stimulating hormone beta]: Increases the pigmentation of skin by increasing melanin production in melanocytes.; FUNCTION: [Beta-endorphin]: Endogenous orexigenic opiate.; FUNCTION: [Met-enkephalin]: Endogenous opiate."
"Q03181","Q03181","FUNCTION: Ligand-activated transcription factor. Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Has a preference for poly-unsaturated fatty acids, such as gamma-linoleic acid and eicosapentanoic acid. Once activated by a ligand, the receptor binds to promoter elements of target genes. Regulates the peroxisomal beta-oxidation pathway of fatty acids. Functions as transcription activator for the acyl-CoA oxidase gene. Decreases expression of NPC1L1 once activated by a ligand. {ECO:0000269|PubMed:1333051, ECO:0000269|PubMed:15604518}."
"O94806","O94806","FUNCTION: Converts transient diacylglycerol (DAG) signals into prolonged physiological effects, downstream of PKC. Involved in resistance to oxidative stress (By similarity). {ECO:0000250}."
"P60891","P60891","FUNCTION: Catalyzes the synthesis of phosphoribosylpyrophosphate (PRPP) that is essential for nucleotide synthesis."
"Q9ULZ3","Q9ULZ3","FUNCTION: Functions as key mediator in apoptosis and inflammation. Promotes caspase-mediated apoptosis involving predominantly caspase-8 and also caspase-9 in a probable cell type-specific manner. Involved in activation of the mitochondrial apoptotic pathway, promotes caspase-8-dependent proteolytic maturation of BID independently of FADD in certain cell types and also mediates mitochondrial translocation of BAX and activates BAX-dependent apoptosis coupled to activation of caspase-9, -2 and -3. Involved in macrophage pyroptosis, a caspase-1-dependent inflammatory form of cell death and is the major constituent of the ASC pyroptosome which forms upon potassium depletion and rapidly recruits and activates caspase-1. In innate immune response believed to act as an integral adapter in the assembly of the inflammasome which activates caspase-1 leading to processing and secretion of proinflammatory cytokines. The function as activating adapter in different types of inflammasomes is mediated by the pyrin and CARD domains and their homotypic interactions. Required for recruitment of caspase-1 to inflammasomes containing certain pattern recognition receptors, such as NLRP2, NLRP3, AIM2 and probably IFI16. In the NLRP1 and NLRC4 inflammasomes seems not be required but facilitates the processing of procaspase-1. In cooperation with NOD2 involved in an inflammasome activated by bacterial muramyl dipeptide leading to caspase-1 activation. May be involved in DDX58-triggered proinflammatory responses and inflammasome activation. Isoform 2 may have a regulating effect on the function as inflammasome adapter. Isoform 3 seems to inhibit inflammasome-mediated maturation of interleukin-1 beta. In collaboration with AIM2 which detects cytosolic double-stranded DNA may also be involved in a caspase-1-independent cell death that involves caspase-8. In adaptive immunity may be involved in maturation of dendritic cells to stimulate T-cell immunity and in cytoskeletal rearrangements coupled to chemotaxis and antigen uptake may be involved in post-transcriptional regulation of the guanine nucleotide exchange factor DOCK2; the latter function is proposed to involve the nuclear form. Also involved in transcriptional activation of cytokines and chemokines independent of the inflammasome; this function may involve AP-1, NF-kappa-B, MAPK and caspase-8 signaling pathways. For regulation of NF-kappa-B activating and inhibiting functions have been reported. Modulates NF-kappa-B induction at the level of the IKK complex by inhibiting kinase activity of CHUK and IKBK. Proposed to compete with RIPK2 for association with CASP1 thereby down-regulating CASP1-mediated RIPK2-dependent NF-kappa-B activation and activating interleukin-1 beta processing. Modulates host resistance to DNA virus infection, probably by inducing the cleavage of and inactivating CGAS in presence of cytoplasmic double-stranded DNA (PubMed:28314590). {ECO:0000269|PubMed:11103777, ECO:0000269|PubMed:12486103, ECO:0000269|PubMed:12646168, ECO:0000269|PubMed:14499617, ECO:0000269|PubMed:14730312, ECO:0000269|PubMed:15030775, ECO:0000269|PubMed:16585594, ECO:0000269|PubMed:16964285, ECO:0000269|PubMed:16982856, ECO:0000269|PubMed:17349957, ECO:0000269|PubMed:17599095, ECO:0000269|PubMed:19158675, ECO:0000269|PubMed:19158676, ECO:0000269|PubMed:19234215, ECO:0000269|PubMed:19494289, ECO:0000269|PubMed:21487011, ECO:0000269|PubMed:22732093, ECO:0000269|PubMed:28314590}."
"O60895","O60895","FUNCTION: Transports the calcitonin gene-related peptide type 1 receptor (CALCRL) to the plasma membrane. Acts as a receptor for adrenomedullin (AM) together with CALCRL. {ECO:0000269|PubMed:22102369, ECO:0000269|PubMed:9620797}."
